pokedex_number,generation,name,type1,type2,classification,abilities,percentage_male,capture_rate,base_egg_steps,base_happiness,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
88,1,Grimer,poison,poison,Sludge Pokémon,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",50.0,190,5120,70,,,325,80,80,50,40,50,25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
89,1,Muk,poison,poison,Sludge Pokémon,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",50.0,75,5120,70,,,500,105,105,75,65,100,50,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
90,1,Shellder,water,,Bivalve Pokémon,"['Shell Armor', 'Skill Link', 'Overcoat']",50.0,190,5120,70,0.3,4.0,305,30,65,100,45,25,40,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
91,1,Cloyster,water,ice,Bivalve Pokémon,"['Shell Armor', 'Skill Link', 'Overcoat']",50.0,60,5120,70,1.5,132.5,525,50,95,180,85,45,70,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
92,1,Gastly,ghost,poison,Gas Pokémon,['Levitate'],50.0,190,5120,70,1.3,0.1,310,30,35,30,100,35,80,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
93,1,Haunter,ghost,poison,Gas Pokémon,['Levitate'],50.0,90,5120,70,1.6,0.1,405,45,50,45,115,55,95,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
94,1,Gengar,ghost,poison,Shadow Pokémon,['Cursed Body'],50.0,45,5120,70,1.5,40.5,600,60,65,80,170,95,130,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
95,1,Onix,rock,ground,Rock Snake Pokémon,"['Rock Head', 'Sturdy', 'Weak Armor']",50.0,45,6400,70,8.8,210.0,385,35,45,160,30,45,70,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
96,1,Drowzee,psychic,,Hypnosis Pokémon,"['Insomnia', 'Forewarn', 'Inner Focus']",50.0,190,5120,70,1.0,32.4,328,60,48,45,43,90,42,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
97,1,Hypno,psychic,,Hypnosis Pokémon,"['Insomnia', 'Forewarn', 'Inner Focus']",50.0,75,5120,70,1.6,75.6,483,85,73,70,73,115,67,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
98,1,Krabby,water,,River Crab Pokémon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",50.0,225,5120,70,0.4,6.5,325,30,105,90,25,25,50,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
99,1,Kingler,water,,Pincer Pokémon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",50.0,60,5120,70,1.3,60.0,475,55,130,115,50,50,75,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
100,1,Voltorb,electric,,Ball Pokémon,"['Soundproof', 'Static', 'Aftermath']",,190,5120,70,0.5,10.4,330,40,30,50,55,55,100,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
101,1,Electrode,electric,,Ball Pokémon,"['Soundproof', 'Static', 'Aftermath']",,60,5120,70,1.2,66.6,490,60,50,70,80,80,150,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
102,1,Exeggcute,grass,psychic,Egg Pokémon,"['Chlorophyll', 'Harvest']",50.0,90,5120,70,0.4,2.5,325,60,40,80,60,45,40,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
103,1,Exeggutor,grass,psychic,Coconut Pokémon,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",50.0,45,5120,70,,,530,95,105,85,125,75,45,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
104,1,Cubone,ground,,Lonely Pokémon,"['Rock Head', 'Lightningrod', 'Battle Armor']",50.0,190,5120,70,0.4,6.5,320,50,50,95,40,50,35,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
105,1,Marowak,ground,fire,Bone Keeper Pokémon,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",50.0,75,5120,70,,,425,60,80,110,50,80,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
106,1,Hitmonlee,fighting,,Kicking Pokémon,"['Limber', 'Reckless', 'Unburden']",100.0,45,6400,70,1.5,49.8,455,50,120,53,35,110,87,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
107,1,Hitmonchan,fighting,,Punching Pokémon,"['Keen Eye', 'Iron Fist', 'Inner Focus']",100.0,45,6400,70,1.4,50.2,455,50,105,79,35,110,76,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
108,1,Lickitung,normal,,Licking Pokémon,"['Own Tempo', 'Oblivious', 'Cloud Nine']",50.0,45,5120,70,1.2,65.5,385,90,55,75,60,75,30,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,1,Koffing,poison,,Poison Gas Pokémon,['Levitate'],50.0,190,5120,70,0.6,1.0,340,40,65,95,60,45,35,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
110,1,Weezing,poison,,Poison Gas Pokémon,['Levitate'],50.0,60,5120,70,1.2,9.5,490,65,90,120,85,70,60,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
111,1,Rhyhorn,ground,rock,Spikes Pokémon,"['Lightningrod', 'Rock Head', 'Reckless']",50.0,120,5120,70,1.0,115.0,345,80,85,95,30,30,25,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
112,1,Rhydon,ground,rock,Drill Pokémon,"['Lightningrod', 'Rock Head', 'Reckless']",50.0,60,5120,70,1.9,120.0,485,105,130,120,45,45,40,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
113,1,Chansey,normal,,Egg Pokémon,"['Natural Cure', 'Serene Grace', 'Healer']",0.0,30,10240,140,1.1,34.6,450,250,5,5,35,105,50,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,1,Tangela,grass,,Vine Pokémon,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",50.0,45,5120,70,1.0,35.0,435,65,55,115,100,40,60,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
115,1,Kangaskhan,normal,,Parent Pokémon,"['Early Bird', 'Scrappy', 'Inner Focus']",0.0,45,5120,70,2.2,80.0,590,105,125,100,60,100,100,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,1,Horsea,water,,Dragon Pokémon,"['Swift Swim', 'Sniper', 'Damp']",50.0,225,5120,70,0.4,8.0,295,30,40,70,70,25,60,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
117,1,Seadra,water,,Dragon Pokémon,"['Poison Point', 'Sniper', 'Damp']",50.0,75,5120,70,1.2,25.0,440,55,65,95,95,45,85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
118,1,Goldeen,water,,Goldfish Pokémon,"['Swift Swim', 'Water Veil', 'Lightningrod']",50.0,225,5120,70,0.6,15.0,320,45,67,60,35,50,63,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
119,1,Seaking,water,,Goldfish Pokémon,"['Swift Swim', 'Water Veil', 'Lightningrod']",50.0,60,5120,70,1.3,39.0,450,80,92,65,65,80,68,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
120,1,Staryu,water,,Starshape Pokémon,"['Illuminate', 'Natural Cure', 'Analytic']",,225,5120,70,0.8,34.5,340,30,45,55,70,55,85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
121,1,Starmie,water,psychic,Mysterious Pokémon,"['Illuminate', 'Natural Cure', 'Analytic']",,60,5120,70,1.1,80.0,520,60,75,85,100,85,115,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
122,1,Mr. Mime,psychic,fairy,Barrier Pokémon,"['Soundproof', 'Filter', 'Technician']",50.0,45,6400,70,1.3,54.5,460,40,45,65,100,120,90,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
123,1,Scyther,bug,flying,Mantis Pokémon,"['Swarm', 'Technician', 'Steadfast']",50.0,45,6400,70,1.5,56.0,500,70,110,80,55,80,105,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
124,1,Jynx,ice,psychic,Humanshape Pokémon,"['Oblivious', 'Forewarn', 'Dry Skin']",0.0,45,6400,70,1.4,40.6,455,65,50,35,115,95,95,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
125,1,Electabuzz,electric,,Electric Pokémon,"['Static', 'Vital Spirit']",75.4,45,6400,70,1.1,30.0,490,65,83,57,95,85,105,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
126,1,Magmar,fire,,Spitfire Pokémon,"['Flame Body', 'Vital Spirit']",75.4,45,6400,70,1.3,44.5,495,65,95,57,100,85,93,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
127,1,Pinsir,bug,,Stagbeetle Pokémon,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",50.0,45,6400,70,1.5,55.0,600,65,155,120,65,90,105,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
128,1,Tauros,normal,,Wild Bull Pokémon,"['Intimidate', 'Anger Point', 'Sheer Force']",100.0,45,5120,70,1.4,88.4,490,75,100,95,40,70,110,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,1,Magikarp,water,,Fish Pokémon,"['Swift Swim', 'Rattled']",50.0,255,1280,70,0.9,10.0,200,20,10,55,15,20,80,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
130,1,Gyarados,water,flying,Atrocious Pokémon,"['Intimidate', 'Moxie']",50.0,45,1280,70,6.5,235.0,640,95,155,109,70,130,81,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
131,1,Lapras,water,ice,Transport Pokémon,"['Water Absorb', 'Shell Armor', 'Hydration']",50.0,45,10240,70,2.5,220.0,535,130,85,80,85,95,60,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
132,1,Ditto,normal,,Transform Pokémon,"['Limber', 'Imposter']",,35,5120,70,0.3,4.0,288,48,48,48,48,48,48,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133,1,Eevee,normal,,Evolution Pokémon,"['Run Away', 'Adaptability', 'Anticipation']",88.1,45,8960,70,0.3,6.5,325,55,55,50,45,65,55,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,1,Vaporeon,water,,Bubble Jet Pokémon,"['Water Absorb', 'Hydration']",88.1,45,8960,70,1.0,29.0,525,130,65,60,110,95,65,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
135,1,Jolteon,electric,,Lightning Pokémon,"['Volt Absorb', 'Quick Feet']",88.1,45,8960,70,0.8,24.5,525,65,65,60,110,95,130,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
136,1,Flareon,fire,,Flame Pokémon,"['Flash Fire', 'Guts']",88.1,45,8960,70,0.9,25.0,525,65,130,60,95,110,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
137,1,Porygon,normal,,Virtual Pokémon,"['Trace', 'Download', 'Analytic']",,45,5120,70,0.8,36.5,395,65,60,70,85,75,40,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,1,Omanyte,rock,water,Spiral Pokémon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",88.1,45,7680,70,0.4,7.5,355,35,40,100,90,55,35,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
139,1,Omastar,rock,water,Spiral Pokémon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",88.1,45,7680,70,1.0,35.0,495,70,60,125,115,70,55,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
140,1,Kabuto,rock,water,Shellfish Pokémon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",88.1,45,7680,70,0.5,11.5,355,30,80,90,55,45,55,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
141,1,Kabutops,rock,water,Shellfish Pokémon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",88.1,45,7680,70,1.3,40.5,495,60,115,105,65,70,80,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
142,1,Aerodactyl,rock,flying,Fossil Pokémon,"['Rock Head', 'Pressure', 'Unnerve']",88.1,45,8960,70,1.8,59.0,615,80,135,85,70,95,150,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
143,1,Snorlax,normal,,Sleeping Pokémon,"['Immunity', 'Thick Fat', 'Gluttony']",88.1,25,10240,70,2.1,460.0,540,160,110,65,65,110,30,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,1,Articuno,ice,flying,Freeze Pokémon,"['Pressure', 'Snow Cloak']",,3,20480,35,1.7,55.4,580,90,85,100,95,125,85,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
145,1,Zapdos,electric,flying,Electric Pokémon,"['Pressure', 'Static']",,3,20480,35,1.6,52.6,580,90,90,85,125,90,100,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
146,1,Moltres,fire,flying,Flame Pokémon,"['Pressure', 'Flame Body']",,3,20480,35,2.0,60.0,580,90,100,90,125,85,90,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
147,1,Dratini,dragon,,Dragon Pokémon,"['Shed Skin', 'Marvel Scale']",50.0,45,10240,35,1.8,3.3,300,41,64,45,50,50,50,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
148,1,Dragonair,dragon,,Dragon Pokémon,"['Shed Skin', 'Marvel Scale']",50.0,45,10240,35,4.0,16.5,420,61,84,65,70,70,70,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
149,1,Dragonite,dragon,flying,Dragon Pokémon,"['Inner Focus', 'Multiscale']",50.0,45,10240,35,2.2,210.0,600,91,134,95,100,100,80,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
150,1,Mewtwo,psychic,,Genetic Pokémon,"['Pressure', 'Unnerve']",,3,30720,0,2.0,122.0,780,106,150,70,194,120,140,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
151,1,Mew,psychic,,New Species Pokémon,['Synchronize'],,45,30720,100,0.4,4.0,600,100,100,100,100,100,100,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
152,2,Chikorita,grass,,Leaf Pokémon,"['Overgrow', 'Leaf Guard']",88.1,45,5120,70,0.9,6.4,318,45,49,65,49,65,45,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
153,2,Bayleef,grass,,Leaf Pokémon,"['Overgrow', 'Leaf Guard']",88.1,45,5120,70,1.2,15.8,405,60,62,80,63,80,60,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
154,2,Meganium,grass,,Herb Pokémon,"['Overgrow', 'Leaf Guard']",88.1,45,5120,70,1.8,100.5,525,80,82,100,83,100,80,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
155,2,Cyndaquil,fire,,Fire Mouse Pokémon,"['Blaze', 'Flash Fire']",88.1,45,5120,70,0.5,7.9,309,39,52,43,60,50,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
156,2,Quilava,fire,,Volcano Pokémon,"['Blaze', 'Flash Fire']",88.1,45,5120,70,0.9,19.0,405,58,64,58,80,65,80,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
157,2,Typhlosion,fire,,Volcano Pokémon,"['Blaze', 'Flash Fire']",88.1,45,5120,70,1.7,79.5,534,78,84,78,109,85,100,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
158,2,Totodile,water,,Big Jaw Pokémon,"['Torrent', 'Sheer Force']",88.1,45,5120,70,0.6,9.5,314,50,65,64,44,48,43,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
159,2,Croconaw,water,,Big Jaw Pokémon,"['Torrent', 'Sheer Force']",88.1,45,5120,70,1.1,25.0,405,65,80,80,59,63,58,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
160,2,Feraligatr,water,,Big Jaw Pokémon,"['Torrent', 'Sheer Force']",88.1,45,5120,70,2.3,88.8,530,85,105,100,79,83,78,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
161,2,Sentret,normal,,Scout Pokémon,"['Run Away', 'Keen Eye', 'Frisk']",50.0,255,3840,70,0.8,6.0,215,35,46,34,35,45,20,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,2,Furret,normal,,Long Body Pokémon,"['Run Away', 'Keen Eye', 'Frisk']",50.0,90,3840,70,1.8,32.5,415,85,76,64,45,55,90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,2,Hoothoot,normal,flying,Owl Pokémon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",50.0,255,3840,70,0.7,21.2,262,60,30,30,36,56,50,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
164,2,Noctowl,normal,flying,Owl Pokémon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",50.0,90,3840,70,1.6,40.8,452,100,50,50,86,96,70,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
165,2,Ledyba,bug,flying,Five Star Pokémon,"['Swarm', 'Early Bird', 'Rattled']",50.0,255,3840,70,1.0,10.8,265,40,20,30,40,80,55,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
166,2,Ledian,bug,flying,Five Star Pokémon,"['Swarm', 'Early Bird', 'Iron Fist']",50.0,90,3840,70,1.4,35.6,390,55,35,50,55,110,85,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
167,2,Spinarak,bug,poison,String Spit Pokémon,"['Swarm', 'Insomnia', 'Sniper']",50.0,255,3840,70,0.5,8.5,250,40,60,40,40,40,30,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
168,2,Ariados,bug,poison,Long Leg Pokémon,"['Swarm', 'Insomnia', 'Sniper']",50.0,90,3840,70,1.1,33.5,400,70,90,70,60,70,40,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
169,2,Crobat,poison,flying,Bat Pokémon,"['Inner Focus', 'Infiltrator']",50.0,90,3840,70,1.8,75.0,535,85,90,80,70,80,130,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
170,2,Chinchou,water,electric,Angler Pokémon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",50.0,190,5120,70,0.5,12.0,330,75,38,38,56,56,67,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
171,2,Lanturn,water,electric,Light Pokémon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",50.0,75,5120,70,1.2,22.5,460,125,58,58,76,76,67,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
172,2,Pichu,electric,,Tiny Mouse Pokémon,"['Static', 'Lightningrod']",50.0,190,2560,70,0.3,2.0,205,20,40,15,35,35,60,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
173,2,Cleffa,fairy,,Star Shape Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",24.6,150,2560,140,0.3,3.0,218,50,25,28,45,55,15,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
174,2,Igglybuff,normal,fairy,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",24.6,170,2560,70,0.3,1.0,210,90,30,15,40,20,15,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
175,2,Togepi,fairy,,Spike Ball Pokémon,"['Hustle', 'Serene Grace', 'Super Luck']",88.1,190,2560,70,0.3,1.5,245,35,20,65,40,65,20,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
176,2,Togetic,fairy,flying,Happiness Pokémon,"['Hustle', 'Serene Grace', 'Super Luck']",88.1,75,2560,70,0.6,3.2,405,55,40,85,80,105,40,0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
177,2,Natu,psychic,flying,Little Bird Pokémon,"['Synchronize', 'Early Bird', 'Magic Bounce']",50.0,190,5120,70,0.2,2.0,320,40,50,45,70,45,70,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
